Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
43,Saddiq Bey,26,NOP,SF,69,61,31.1,6.0,13.2,.452,2.1,5.7,.366,3.9,7.6,.516,.531,3.4,4.0,.845,1.7,3.9,5.6,2.6,0.9,0.1,1.0,1.3,17.4,,beysa01
44,Ryan Rollins,23,MIL,PG,72,65,32.1,6.5,13.8,.470,2.5,6.1,.407,4.0,7.7,.521,.560,1.7,2.1,.788,0.7,3.9,4.6,5.6,1.5,0.4,2.7,2.6,17.1,,rolliry01
45,Miles Bridges,27,CHO,PF,71,71,31.3,6.2,13.7,.453,1.9,5.9,.323,4.3,7.8,.550,.522,2.8,3.4,.832,1.0,4.8,5.8,3.2,0.6,0.4,1.4,1.7,17.1,,bridgmi02
46,Chet Holmgren,23,OKC,PF,65,65,29.3,6.3,11.4,.551,1.2,3.5,.348,5.0,7.9,.642,.605,3.3,4.1,.799,1.9,7.0,8.9,1.7,0.6,1.8,1.6,2.3,17.0,AS,holmgch01
47,Payton Pritchard,28,BOS,PG,74,50,32.5,6.4,13.9,.460,2.7,7.1,.372,3.7,6.7,.552,.556,1.6,1.8,.886,0.9,3.2,4.0,5.1,0.7,0.1,1.4,1.5,17.0,,pritcpa01
48,Andrew Nembhard,26,IND,PG,57,57,31.3,5.8,13.2,.442,1.9,5.2,.361,4.0,8.0,.495,.513,3.4,4.1,.825,0.4,2.4,2.8,7.7,0.9,0.1,2.4,2.2,16.9,,nembhan01
49,Immanuel Quickley,26,TOR,PG,67,67,32.4,5.9,13.2,.445,2.6,6.9,.374,3.3,6.3,.523,.543,2.5,3.1,.821,0.5,3.5,4.1,6.0,1.3,0.1,1.5,2.0,16.9,,quickim01
50,Derrick White,31,BOS,SG,72,72,34.3,5.8,14.8,.392,2.7,8.4,.321,3.1,6.4,.487,.484,2.5,2.8,.900,1.1,3.3,4.5,5.5,1.2,1.4,1.8,1.6,16.8,,whitede01
51,OG Anunoby,28,NYK,PF,63,63,33.4,5.8,12.1,.484,2.3,6.0,.379,3.6,6.1,.586,.578,2.7,3.3,.818,1.3,3.9,5.2,2.2,1.6,0.7,1.9,2.5,16.7,,anunoog01
52,Stephon Castle,21,SAS,PG,64,63,29.8,5.6,11.9,.471,1.2,3.6,.326,4.4,8.3,.534,.520,4.2,5.8,.730,1.4,3.8,5.2,7.3,1.2,0.3,3.2,3.2,16.6,,castlst01
